Bezahlen mit;Typ;Restaurant;Adresse;PLZ;Ort;Kanton;Telefon;Website
;;Migros;Avenue Gustave Coindet 38;1020;Renens VD;VD;058 573 76 60;www.migros.ch
;;Migros Bachmätteli;Bottigenstr. 7;3018;Bern-Bümpliz;BE;+41585673700;www.migros.ch
;;Migros Bethlehem;Riedbachstrasse 10;3027;Bern;BE;;www.migros.ch
;;Migros Breitenrain;Breitenrainplatz 37;3014;Bern;BE;+41585676080;www.migros.ch
;;Migros Bubenberg;Bubenbergplatz 8;3011;Bern;BE;+41585676100;www.migros.ch
;;Migros Caféteria Ecole-Club;Rue du Prince 5;1204;Genève;GE;022 319 61 95;
;;Migros Chly-Wabere;Seftigenstr. 368;3084;Wabern;BE;+41585673025;www.migros.ch
;;Migros Claraplatz;Untere Rebgasse 11;4058;Basel;BS;+41585758500;www.migros.ch
;;Migros Coffee & Time;Hinterbergstrasse 40;6312;Steinhausen;ZG;041 748 69 80;www.migros.ch
;;Migros Coffee Time;Avry-Centra;1754;Avry-sur-Matran;FR;;www.migros.ch
;;Migros Dreispitz;Münchensteinerstrasse 200;4053;Basel;BS;+41585757285;www.migros.ch
;;Migros Express;Mühlegasse 11;8001;Zürich;ZH;043 268 22 70;www.migros.ch
;;Migros Fitnesscenter;Niederschönthalstrasse 2;4402;Frenkendorf;BL;058 575 89 40;www.migros.ch
;;Migros Freudenberg;Giacomettistrasse 15;3006;Bern;BE;+41585674080;www.migros.ch
;;Migros Gourmessa;Herrenweg 11;4153;Reinach BL;BL;;www.migros.ch
;;Migros Gourmessa;Kreuzplatzstrasse 20;8008;Zürich;ZH;;www.migros.ch
;;Migros Gourmessa;Ergolzstrasse 2;4414;Füllinsdorf;BL;;www.migros.ch
;;Migros Gourmessa;Burgfelderstrasse 11;4055;Basel;;;www.migros.ch
;;Migros Gourmessa;Sous le Grand Pre;1860;Aigle;;058-5735180;www.migros.ch
;;Migros Gourmessa;Ch. Vallonette 2;1012;Lausanne;;058-5735440;www.migros.ch
;;Migros Gourmessa;Spitzwaldstrasse 215;4123;Allschwil;BL;058 575 70 20;www.migros.ch
;;Migros Gourmessa;Bahnhofstrasse 4;4242;Laufen;;;www.migros.ch
;;Migros Gourmessa;Mühlemattstrasse 18;4104;Oberwil BL;BL;;www.migros.ch
;;Migros Gourmessa;Altstetterstr. 145;8048;Zürich;ZH;;www.migros.ch
;;Migros Gourmessa;Münchensteinerstrasse 200;4053;Basel;;;www.migros.ch
;;Migros Gourmessa;Centralbahnstrasse 10;4051;Basel;BS;;www.migros.ch
;;Migros Gourmessa;Chrischonastrasse 2;4127;Birsfelden;;;www.migros.ch
;;Migros Gourmessa;Zürichstrasse 20;8610;Uster;ZH;044 905 49 49;www.migros.ch
;;Migros Gourmessa;Rössligasse/Webergässchen;4125;Riehen;;;www.migros.ch
;;Migros Gourmessa;Im Zentrum 18;8604;Volketswil;ZH;044 945 69 69;www.migros.ch
;;Migros Gourmessa;Burggartenstrasse 21;4133;Pratteln;BL;;www.migros.ch
;;Migros Gourmessa Drachen-Center;Aeschenvorstadt 24;4051;Basel;BS;+41585758750;www.migros.ch
;;Migros Gundelitor;Güterstrasse 180;4053;Basel;BS;+41585758100;www.migros.ch
;;Migros Marktgasse;Marktgasse 46;3011;Bern;BE;;www.migros.ch
;;Migros Panorama Center;Weststrasse 14;3604;Thun;BE;+41585672969;www.migros-aare.ch
;;Migros Personalrestaurant;Industriestrasse 20;3322;Urtenen-Schönbühl;BE;031 858 82 55;www.migros.ch
;;Migros Personalrestaurant;Hardturmstrasse 201;8005;Zürich;ZH;058 399 32 70;www.migros.ch
;;Migros Personalrestaurant BZG;Postfach 184;9202;Gossau SG;SG;071-3882111;www.migros.ch
;;Migros Personalrestaurant Jurablick;Wynenfeld;5034;Suhr;AG;062 855 61 11;www.migros.ch
;;Migros Personalrestaurant Swissgrid;Bleichemattstrasse 31;5000;Aarau;AG;;
;;Migros PicMi;Place du Marché 6;1820;Montreux;;058-5736640;www.migros.ch
;;Migros PicMi (Take Away);Ch. du Closalet 7;1023;Crissier;VD;058 573 55 96;www.migros.ch
;;Migros Restaurant;Avenue des Bergières 50;1004;Lausanne;VD;021-6439011;www.migros.ch
;;Migros Restaurant;Bahnhofstrasse 56;8200;Schaffhausen;SH;052 630 24 75;www.migros.ch
;;Migros Restaurant;Bahnhofstrasse 7;5610;Wohlen AG;AG;058 567 23 00;www.migros.ch
;;Migros Restaurant;Limmatstrasse 152;8005;Zürich;ZH;044 448 10 58;www.migros.ch
;;Migros Restaurant;Louis-Giroud-Str. 20;4600;Olten;SO;062 296 46 70;www.migros.ch
;;Migros Restaurant;Bernstrasse 114;3072;Ostermundigen;BE;058 567 51 50;www.migros.ch
;;Migros Restaurant;Obere Bahnhofstrasse 5;8500;Wil;SG;071 914 35 55;www.migros.ch
;;Migros Restaurant;Stossstrasse 2;9450;Altstätten;SG;+41717576211;www.migros.ch
;;Migros Restaurant;Kasernenstrasse 18;9100;Herisau;AR;+41713535211;www.migros.ch
;;Migros Restaurant;Monbijoustrasse 28;3011;Bern;BE;058 563 90 75;www.migros.ch
;;Migros Restaurant;Route de St-Julien 176;1228;Plan-les-Ouates;;058-5733865;www.migros.ch
;;Migros Restaurant;Im Zentrum;8105;Regensdorf;ZH;+41448431444;www.migros.ch
;;Migros Restaurant;Richigenstrasse 1;3076;Worb;BE;+41585674500;www.migros.ch
;;Migros Restaurant;Rue de la Maltière 12;2800;Delémont;JU;;www.migros.ch
;;Migros Restaurant;Brown Boveri Strasse 5;8050;Zürich;ZH;;www.migros.ch
;;Migros Restaurant;Avenue Louis-Casaï 27;1211;Genève 1;;;www.migros.ch
;;Migros Restaurant;Schaffhauserstrasse 122;8302;Kloten;ZH;044 804 16 76;www.migros.ch
;;Migros Restaurant;Rue des Terreaux 23;1003;Lausanne;;058-5735080;www.migros.ch
;;Migros Restaurant;Birmensdorferstr. 140;8003;Zürich;ZH;044 456 40 37;www.migros.ch
;;Migros Restaurant;Wengistrasse 12;4500;Solothurn;SO;+41442428205;www.migros.ch
;;Migros Restaurant;Bahnhofstrasse 19;9630;Wattwil;SG;071 987 05 80;www.migros.ch
;;Migros Restaurant;Ebisquare-Strasse 1;6030;Ebikon;LU;041 445 20 00;www.migros.ch
;;Migros Restaurant;Goethestrasse 18;8712;Stäfa;ZH;043 497 10 70;www.migros.ch
;;Migros Restaurant;Ch. du Closalet 7;1023;Crissier;VD;058 573 55 93;www.migros.ch
;;Migros Restaurant;Brückenweg 10;3930;Visp;;027-7206737;www.migros.ch
;;Migros Restaurant;Bahnhofstrasse 54 a;8590;Romanshorn;TG;+41714661311;
;;Migros Restaurant;Luzernerstrasse 30;6010;Kriens;LU;+41413296565;www.migros.ch
;;Migros Restaurant;Spitzwaldstr. 215;4123;Allschwil;BL;058 575 70 00;www.migros.ch
;;Migros Restaurant;Gare Pont Neuf;1110;Morges;;058-5735750;www.migros.ch
;;Migros Restaurant;Lindenstrasse 3;4310;Rheinfelden;AG;+41585670800;www.migros.ch
;;Migros Restaurant;Boulevard de Pérolles 21;1700;Fribourg;;058-5731030;www.migros.ch
;;Migros Restaurant;Dufourstrasse 50;9000;St. Gallen;;071-2242260;www.migros.ch
;;Migros Restaurant;Bahnhofstrasse, Zentrum Terminus;3700;Spiez;BE;033 655 86 86;www.migros.ch
;;Migros Restaurant;Sonnenplatz 1;6020;Emmenbrücke;LU;+41412693070;www.migros.ch
;;Migros Restaurant;Unteres Ziel;9050;Appenzell;AI;+41717881660;www.migros.ch
;;Migros Restaurant;Winterthurerstrasse 2;8006;Zürich;;044-3610507;www.migros.ch
;;Migros Restaurant;Neudorfstrasse 2;9240;Uzwil;SG;+41719556380;www.migros.ch
;;Migros Restaurant;Chemin du Pré-de-la-Tour 3;1009;Pully;;058-5735850;www.migros.ch
;;Migros Restaurant;Winkelriedstrasse 58;6003;Luzern;LU;+41412260150;www.migros.ch
;;Migros Restaurant;Kanalgasse 38;2502;Biel;BE;058 567 69 50;www.migros.ch
;;Migros Restaurant;Rue de la Morâche 6;1260;Nyon;VD;022 994 74 24;www.migros.ch
;;Migros Restaurant;Rosengartenstrasse 10;8706;Meilen;ZH;044 923 35 05;www.migros.ch
;;Migros Restaurant;Hinterbergstrasse 40;6312;Steinhausen;ZG;+41417486666;www.migros.ch
;;Migros Restaurant;Hochbergerstrasse 106;4057;Basel;BS;;www.migros.ch
;;Migros Restaurant;Winterthurerstrasse 18;8610;Uster;ZH;043 399 17 77;www.migros.ch
;;Migros Restaurant;Rankmatte/Murgenthalstrasse 17;4900;Langenthal;BE;062 923 53 33;www.migros.ch
;;Migros Restaurant;Wildenstrasse 8;8212;Neuhausen;SH;+41526741511;www.migros.ch
;;Migros Restaurant;Churerstrasse 5;9470;Buchs SG;SG;+41817558560;www.migros.ch
;;Migros Restaurant;Alsenstrasse 40;8803;Rüschlikon;ZH;044 704 60 90;www.migros.ch
;;Migros Restaurant;Erlenstrasse 40;2555;Brügg BE;BE;+41585673800;www.migros.ch
;;Migros Restaurant;Märtplatz 5;8307;Effretikon;ZH;+41523543511;www.migros.ch
;;Migros Restaurant;Pfingstweidstrasse 110;8005;Zürich;ZH;;www.migros.ch
;;Migros Restaurant;Wengistrasse 7;8004;Zürich;ZH;044 242 82 05;www.migros.ch
;;Migros Restaurant;Löwenstr. 28;8953;Dietikon;ZH;;www.migros.ch
;;Migros Restaurant;Jonas-Furrerstrasse 21;8046;Zürich;ZH;044 370 16 62;www.migros.ch
;;Migros Restaurant;Hofwiesenstrasse 350;8050;Zürich;ZH;044 317 60 10;www.migros.ch
;;Migros Restaurant;Wiesenstrasse 28;4900;Langenthal;BE;+41585673225;www.migros.ch
;;Migros Restaurant;Binzmattweg 8;5035;Unterentfelden;AG;;www.migros.ch
;;Migros Restaurant;Alte Landstr. 130;8800;Thalwil;ZH;044 720 14 24;www.migros.ch
;;Migros Restaurant;;2074;Marin-Epagnier;;058-573 85 25;www.migros.ch
;;Migros Restaurant;Schlossstrasse 1a;3550;Langnau i. E.;BE;034 402 47 46;www.migros.ch
;;Migros Restaurant;Freiestrasse 10;2540;Grenchen;SO;+41585677850;www.migros.ch
;;Migros Restaurant;Avenue de la Gare;1870;Monthey;;027-7206665;www.migros.ch
;;Migros Restaurant;Avenue de Bel-Air 12;1225;Chêne-Bourg;;;www.migros.ch
;;Migros Restaurant;Giesshübelstrasse 65;8045;Zürich;ZH;044 462 38 66;www.migros.ch
;;Migros Restaurant;Gewerbestrasse 11;3302;Moosseedorf;BE;058 567 41 80;www.migros.ch
;;Migros Restaurant;Industriepark;9423;Altenrhein;SG;;www.migros.ch
;;Migros Restaurant;Amriswilerstrasse 12;8570;Weinfelden;TG;+41716261480;www.migros.ch
;;Migros Restaurant;Thunstrasse 21;3510;Konolfingen;BE;+41585678280;www.migros.ch
;;Migros Restaurant;Bahnhofstrasse 28;6210;Sursee;LU;+41419263040;www.migros.ch
;;Migros Restaurant;Shoppingcenter Tivoli;8957;Spreitenbach;AG;;www.migros.ch
;;Migros Restaurant;Sulzer Allee 25;8404;Winterthur;ZH;;www.migros.ch
;;Migros Restaurant;En Chamard;1442;Montagny-Yverdon;VD;058-5735640;www.migros.ch
;;Migros Restaurant;Im Grossriet 1;8606;Greifensee;ZH;044 905 66 22;www.migros.ch
;;Migros Restaurant;Oberdorfstrasse 31;8820;Wädenswil;ZH;+41447838737;www.migros.ch
;;Migros Restaurant;Feldstrasse 85;8180;Bülach;ZH;043 411 31 91;www.migros.ch
;;Migros Restaurant;Rue de Carouge 64;1205;Genève;;022-8070960;www.migros.ch
;;Migros Restaurant;Avenue Vibert 32;1227;Carouge GE;;058-5734280;www.migros.ch
;;Migros Restaurant;Château-d'en-Bas 2;1630;Bulle;;058-573 06 77;www.migros.ch
;;Migros Restaurant;Pizolpark Einkaufszentrum;8879;Pizolpark (Mels);SG;081 725 95 90;www.migros.ch
;;Migros Restaurant;Rue de Genève 92;1226;Thônex;;022-8608320;www.migros.ch
;;Migros Restaurant;Untere Bahnhofstrasse 19;8640;Rapperswil SG;SG;+41552109474;www.migros.ch
;;Migros Restaurant;Aarburgerstrasse 5;4800;Zofingen;AG;062 745 35 50;www.migros.ch
;;Migros Restaurant;Zentralstrasse 16;6030;Ebikon;LU;+41414457031;www.migros.ch
;;Migros Restaurant;Bläuacker 10;3098;Köniz;BE;031 558 30 03;www.migros.ch
;;Migros Restaurant;Bahnhofstrasse 70;8500;Frauenfeld;TG;+41527240511;www.migros.ch
;;Migros Restaurant;Rue Bournot 35;2400;Le Locle;;058-5731640;www.migros.ch
;;Migros Restaurant;Hausimollstrasse 1;4622;Egerkingen;SO;+41585677630;www.migros.ch
;;Migros Restaurant;Nelkenstrasse 5;6060;Sarnen;OW;041 666 53 35;www.migros.ch
;;Migros Restaurant;Neumarkt 1;5200;Brugg AG;AG;056 460 07 50;www.migros.ch
;;Migros Restaurant;Bahnhofplatz 5;3110;Münsingen;BE;+41585673625;www.migros.ch
;;Migros Restaurant;Birmensdorferstr. 320;8055;Zürich;ZH;044 450 14 75;www.migros.ch
;;Migros Restaurant;Rue des Pâquis 41;1201;Genève;;022-7161850;www.migros.ch
;;Migros Restaurant;Bahnhofstrasse 2;9443;Widnau;SG;+41717261311;www.migros.ch
;;Migros Restaurant;Ernst-Stadler-Strasse 4;9565;Bussnang;;071-6203045;www.migros.ch
;;Migros Restaurant;Lyssachstrasse 27;3400;Burgdorf;BE;;www.migros.ch
;;Migros Restaurant;Rugenparkstrasse 1;3800;Interlaken;BE;033 826 30 80;www.migros.ch
;;Migros Restaurant;Steinweg 28;3250;Lyss;BE;058 567 91 30;www.migros.ch
;;Migros Restaurant;Seetalstrasse 50;6020;Emmenbrücke;LU;041 268 81 70;www.migros.ch
;;Migros Restaurant;Falkenstrasse 19-21;8008;Zürich;ZH;044 261 46 64;www.migros.ch
;;Migros Restaurant;2 Route des Perveuils;2074;Marin-Epagnier;NE;;www.migros.ch
;;Migros Restaurant;Industriestrasse 47;9200;Gossau SG;SG;071 493 22 91;www.migros.ch
;;Migros Restaurant;Avry-Centre;1754;Avry-sur-Matran;FR;058 573 31 11;www.migros.ch
;;Migros Restaurant;Bandwiesstrasse 8;8630;Rüti ZH;ZH;055 250 54 11;www.migros.ch
;;Migros Restaurant;Avenue de France 20;1950;Sion;;027-7206820;www.migros.ch
;;Migros Restaurant;Untere Rebgasse 11;4058;Basel;;;www.migros.ch
;;Migros Restaurant;Promenade 105;7270;Davos Platz;GR;081 416 44 80;www.migros.ch
;;Migros Restaurant;Avenue de Feuillasse 24;1217;Meyrin;GE;;www.migros.ch
;;Migros Restaurant;Industriestrasse 20;3321;Schönbühl Einkaufszentrum;BE;031 858 87 04;www.migros.ch
;;Migros Restaurant;Poststrasse 4;7130;Ilanz;GR;;www.migros.ch
;;Migros Restaurant;Bahnhofstrasse 1;3860;Meiringen;BE;033 971 35 85;www.migros.ch
;;Migros Restaurant;Mythen-Center-Strasse 18;6438;Ibach-Schwyz;SZ;041 819 50 40;www.migros.ch
;;Migros Restaurant;Alte Landstr. 24;8810;Horgen;ZH;044 727 37 27;www.migros.ch
;;Migros Restaurant;Bresteneggstrasse 9b;5033;Buchs AG;AG;062 855 67 11;www.migros.ch
;;Migros Restaurant;Aegertiweg 33;3800;Matten b. Interlaken;BE;;www.migros.ch
;;Migros Restaurant;Rue Daniel-JeanRichard 23;2300;La Chaux-de-Fonds;;058-5731419;www.migros.ch
;;Migros Restaurant;Rue de l'hôpital 12;2000;Neuchâtel;;058-5731905;www.migros.ch
;;Migros Restaurant;Avenue Vibert 29;1227;Carouge GE;;058-5733790;www.migros.ch
;;Migros Restaurant;Rue des Bossons 78;1213;Onex;;022-8795730;www.migros.ch
;;Migros Restaurant;Hauptbahnhof;8001;Zürich;ZH;043-4973942;www.migros.ch
;;Migros Restaurant;Bachstrasse 15;5600;Lenzburg;AG;+41585678900;www.migros.ch
;;Migros Restaurant;Guggenbühlstrasse 1;8404;Winterthur;ZH;052 245 12 38;www.migros.ch
;;Migros Restaurant;Rue de Lausanne 18;1201;Genève;;058-5733970;www.migros.ch
;;Migros Restaurant;Avenue Vibert 32;1227;Carouge GE;;058-5734270;www.migros.ch
;;Migros Restaurant;Landstrasse 69;5430;Wettingen;AG;+41585672050;www.migros.ch
;;Migros Restaurant;Etzelstrasse 3;8038;Zürich;ZH;044 482 23 11;www.migros.ch
;;Migros Restaurant;Bitzistrasse 2;6370;Stans;NW;041 618 88 10;www.migros.ch
;;Migros Restaurant;Bahnhofstrasse 40-42;5400;Baden;AG;;www.migros.ch
;;Migros Restaurant;Bahnhofstrasse 151;8620;Wetzikon ZH;ZH;+41434882411;www.migros.ch
;;Migros Restaurant;Bahnhofstrasse 28;8180;Bülach;ZH;+41448607504;www.migros.ch
;;Migros Restaurant;Place du Manoir;1920;Martigny;;027-7204115;www.migros.ch
;;Migros Restaurant;Löwenstrasse 31 - 35;8001;Zürich;ZH;044 227 10 60;www.migros.ch
;;Migros Restaurant;Brüggstrasse 5;2503;Biel;BE;058 567 31 00;www.migros.ch
;;Migros Restaurant;Promenadenstrasse 10;5330;Bad Zurzach;AG;+41585672730;www.migros.ch
;;Migros Restaurant;Ergolzstrasse 2;4414;Füllinsdorf;BL;;www.migros.ch
;;Migros Restaurant;Albisstrasse 10;8134;Adliswil;ZH;+41447100565;www.migros.ch
;;Migros Restaurant;Golf Parc;1172;Bougy-Villars;VD;058 568 31 50;www.migros.ch
;;Migros Restaurant;Route de Berne 18;3280;Morat;;058-5732557;www.migros.ch
;;Migros Restaurant;Rue de la Mèbre 9;1020;Renens VD;;058-5736790;www.migros.ch
;;Migros Restaurant;Lenzburgerstrasse 50;5507;Mellingen;AG;+41585676800;www.migros.ch
;;Migros Restaurant;St. Gallerstrasse 115;9200;Gossau SG;SG;+41713885611;www.migros.ch
;;Migros Restaurant;Gäuggelistrasse;7000;Chur;GR;081 256 52 90;www.migros.ch
;;Migros Restaurant;Fabrikstrasse 6;4513;Langendorf;SO;032 625 67 90;www.migros.ch
;;Migros Restaurant;Schönbrunnen;3123;Belp;BE;058 567 56 27;www.migros.ch
;;Migros Restaurant;Schaffhauserstrasse 152;8400;Winterthur;ZH;052 208 15 91;www.migros.ch
;;Migros Restaurant;Unterdorfstrasse 7;8600;Dübendorf;ZH;044 821 60 69;www.migros.ch
;;Migros Restaurant;Kirchstrasse 9;8580;Amriswil;TG;071 414 56 75;www.migros.ch
;;Migros Restaurant;Winterthurerstrasse 524;8051;Zürich;ZH;044 321 37 71;www.migros.ch
;;Migros Restaurant;Neue Winterthurerstrasse 99;8304;Wallisellen;ZH;044 839 20 50;www.migros.ch
;;Migros Restaurant Belimo;Brunnenbachstrasse 1;8340;Hinwil;ZH;;www.migros.ch
;;Migros Restaurant Calandapark;Pargherastrasse 1-3;7000;Chur;GR;+41812557375;www.migros.ch
;;Migros Restaurant Glarus;Schweizerhofstrasse 6;8750;Glarus;GL;055 646 20 30;
;;Migros Restaurant Golfpark;Neue Riedstrasse 72;8112;Otelfingen;ZH;044 884 79 70;
;;Migros Restaurant Herblingen;Stüdliackerstrasse 4;8207;Schaffhausen;SH;+41526448480;www.migros.ch
;;Migros Restaurant La Terrasse;Bahnhofplatz 2;9000;St. Gallen;SG;+41712281500;www.migros.ch
;;Migros Restaurant Neumarkt;St. Leonhard-Strasse 35;9000;St. Gallen;SG;+41712241330;www.migros.ch
;;Migros Restaurant Neuwiesen;Strickerstrasse 3;8400;Winterthur;ZH;+41522689311;www.migros.ch
;;Migros Restaurant Oberland;Talackerstrasse 62;3600;Thun;BE;033 533 04 00;www.migros.ch
;;Migros Restaurant RAD Rheinmetall;Birchstrasse 155;8050;Zürich;ZH;044 316 22 76;
;;Migros Restaurant Rheinpark;Industriestrasse / Einkaufszentrum;9430;St. Margrethen;SG;+41717473502;www.migros.ch
;;Migros Restaurant Romanel;En Félezin;1032;Romanel-sur-Lausanne;VD;058 573 59 60;
;;Migros Restaurant Säntispark;Wiesenbachstrasse 7;9030;Abtwil;SG;+41713147070;www.migros.ch
;;Migros Restaurant Schweizerhof;Hertensteinstrasse 9;6004;Luzern;LU;;www.migros.ch
;;Migros Restaurant Seegarten;Rainstrasse 6;4142;Münchenstein;BL;058 575 80 00;www.seegarten-restaurant.ch
;;Migros Restaurant Seen;Hinterdorfstrasse 40;8405;Winterthur;ZH;+41522353467;www.migros.ch
;;Migros Restaurant Seepark;Bleichestrasse 15;8280;Kreuzlingen;TG;+41716860211;www.migros.ch
;;Migros Restaurant Seetal-Center;Hauptstrasse 5;6280;Hochdorf;LU;;www.migros.ch
;;Migros Restaurant Servette Croissanterie;Rue de la Servette 93;1202;Genève;;022-7491449;
;;Migros Restaurant St. Fiden;Bachstrasse 29;9008;St. Gallen;SG;+41712431211;www.migros.ch
;;Migros Restaurant Sultetto;Fürstenlandstrasse 122;9014;St. Gallen;SG;071 272 72 85;www.migros.ch
;;Migros Restaurant Topolino;Pfingstweidstrasse 101;8021;Zürich;ZH;058 561 54 32;www.migros.ch
;;Migros Restaurant Wabern;Gurten;3084;Wabern;BE;;
;;Migros Restaurant Zentrum Sonnenhof;Zürcherstrasse 4;8640;Rapperswil SG;SG;+41552205282;www.migros.ch
;;Migros Snacky Wankdorf;Wankdorffeldstr. 90;3014;Bern;BE;+41585676550;www.migros.ch
;;Migros Take Away;Rue de la Terrassière 27;1207;Genève;GE;058-5734055;www.migros.ch
;;Migros Take Away;Industriestrasse 20;3321;Schönbühl Einkaufszentrum;BE;;www.migros.ch
;;Migros Take Away;Hardstrasse 210;8005;Zürich;ZH;;www.migros.ch
;;Migros Take Away;Baarerstrasse 22;6300;Zug;ZG;041 726 32 50;www.migros.ch
;;Migros Take Away;Shopping Center Tivoli;8957;Spreitenbach;AG;;www.migros.ch
;;Migros Take Away;Bahnhofstrasse 28;6210;Sursee;;041-9263040;www.migros.ch
;;Migros Take Away;Klosterzelgstrasse 1;5210;Windisch;;;www.migros.ch
;;Migros Take Away;via Stazione 36, CCR;6500;Bellinzona;TI;091 850 83 08;www.migros.ch
;;Migros Take Away;Feuerwehrstrasse 1;9400;Rorschach;SG;;www.migros.ch
;;Migros Take Away;Bahnhofstrasse 70-72;8500;Frauenfeld;TG;052 724 05 40;www.migros.ch
;;Migros Take Away;Talackerstr. 62;3604;Thun;BE;;www.migros.ch
;;Migros Take Away;St. Leonhardstrasse 35;9000;St. Gallen;;071-2209181;www.migros.ch
;;Migros Take Away;Dorfstrase 17;8126;Zumikon;;;www.migros.ch
;;Migros Take Away;Bahnhofstrasse 15;2502;Biel;BE;032 325 35 65;www.migros.ch
;;Migros Take Away;Bahnhofstrasse 40-42;5400;Baden;AG;056/200 52 10;www.migros.ch
;;Migros Take Away;Igelweid 18;5000;Aarau;AG;062 832 40 50;www.migros.ch
;;Migros Take Away;Chemin de la fontaine 5;1260;Nyon;VD;022 9943375;www.migros.ch
;;Migros Take Away;Bahnhofplatz 10;3011;Bern;BE;031/310 04 34;www.migros.ch
;;Migros Take Away;Hertensteinstrasse 9;6004;Luzern;LU;041 417 07 40;www.migros.ch
;;Migros Take Away;Industriestrasse 20;3321;Schönbühl Einkaufszentrum;;;www.migros.ch
;;Migros Take Away;Promenade de l'Europe 11;1203;Genève;;022-3397070;www.migros.ch
;;Migros Take Away;Rue des Terreaux 23;1003;Lausanne;;058-5735090;www.migros.ch
;;Migros Take Away;Badenerstrasse 339;8003;Zürich;ZH;058 563 90 65;www.migros.ch
;;Migros Take Away;Hinterbergstrasse 40;6312;Steinhausen;;+41(0)41 748 66 66;www.migros.ch
;;Migros Take Away;Bahnhofstrasse 38;2502;Biel/Bienne;BE;;www.migros.ch
;;Migros Take Away;Gaiserwaldstrasse 3;9015;St. Gallen;SG;071 228 73 31;www.migros.ch
;;Migros Take Away;Wilerstrasse 3;9542;Münchwilen TG;TG;;www.migros.ch
;;Migros Take Away;Bahnhofplatz 2;9000;St. Gallen;SG;;www.migros.ch
;;Migros Take Away;Ackerweg 2;4665;Oftringen;AG;053 567 44 20;www.migros.ch
;;Migros Take Away;Bresteneggstrasse 9b;5033;Buchs AG;;;www.migros.ch
;;Migros Take Away;Strickerstrasse 3;8400;Winterthur;ZH;052 268 94 51;www.migros.ch
;;Migros Take Away;Gwattstrasse;8808;Pfäffikon SZ;SZ;055 415 62 93;www.migros.ch
;;Migros Take Away;Einkaufszentrum 66;9430;St. Margrethen SG;;;www.migros.ch
;;Migros Take Away Aarau;Am Bahnhofplatz;5000;Aarau 1;AG;;www.migros.ch
;;Migros Take Away Bahnhof;Bahnhofplatz 10;3011;Bern;BE;+41585675650;www.migros.ch
;;Migros Take Away Bio;Bahnhof Oerlikon;8050;Zürich;ZH;;www.migros.ch
;;Migros Take Away Buchs;Churerstrasse 10;9470;Buchs SG;SG;081 755 85 60;www.migros.ch
;;Migros Take Away Gäuggeli;Gäuggeli-/Gürtelstrasse 66;7000;Chur;GR;081 256 52 91;www.migros.ch
;;Migros Take Away Greenhouse;Industriestrasse 31;8305;Dietlikon;ZH;+41448335760;www.migros.ch
;;Migros Take Away Grüzepark;Industriestrasse 44;8404;Winterthur;ZH;052 235 84 75;www.migros.ch
;;Migros Take Away Hauptbahnhof;Hauptbahnhof;8001;Zürich;ZH;+41442101453;www.migros.ch
;;Migros Take Away Herblingen;Stüdliackstrasse 4;8207;Schaffhausen;SH;052 643 58 08;www.migros.ch
;;Migros Take Away Marktgasse;Marktgasse 46;3011;Bern;BE;058 567 63 00;www.migros.ch
;;Migros Take Away Pizolpark;Einkaufszentrum 66;8879;Pizolpark (Mels);SG;081 723 39 19;www.migros.ch
;;Migros Take Away Rosenberg;Schaffhauserstrasse 154;8400;Winterthur;ZH;052 208 15 91;www.migros.ch
;;Migros Take Away Rüti;Bandwiesenstrasse 8;8630;Rüti ZH;ZH;055 250 54 81;www.migros.ch
;;Migros Take Away Schaffhausen;Bahnhofstrasse 56/58;8200;Schaffhausen;SH;052 630 24 75;www.migros.ch
;;Migros Take Away St. Fiden;Bachstrasse 29;9008;St. Gallen;SG;071 243 12 11;www.migros.ch
;;Migros Take Away Wetzikon;Bahnhofstrasse 151;8620;Wetzikon ZH;ZH;044 931 17 37;www.migros.ch
;;Migros Take Away Widnau;Bahnhofstrasse 2;9443;Widnau;SG;071 726 13 11;www.migros.ch
;;Migros Take Away Wil;Obere Bahnhofstrasse 5;9500;Wil SG;SG;071 914 35 55;www.migros.ch
;;Migros Take-Away;Bälliz 2;3600;Thun;BE;058 567 16 00;www.migros.ch
;;Migros Westside;Gilberte-de-Courgenay-Platz 4;3027;Bern;BE;;www.migros.ch
;;Migros Winkelried;Wankdorffeldstrasse 71;3014;Bern;BE;+41585674070;www.migros.ch
;;Migros Zähringer;Zähringerstrasse 43;3012;Bern;BE;+41585676700;www.migros.ch
;;Mikado;Rue de l'Ancien-Port 9;1201;Genève;GE;+41227324774;www.sushi.ch
;;Mikado Georges-Favon;Boulevard Georges-Favon 4;1204;Genève;GE;022 552 44 77;www.sushi.ch
;;Mikado Grenus;Place De-Grenus 10;1202;Genève;GE;022 920 44 77;www.sushi.ch
;;Mikado Plainpalais;Rue de Carouge 8;1205;Genève;GE;+41223204477;www.sushi.ch
;;Mikado Terrassière;Rue de la Terrassière 23;1207;Genève;GE;+41227004477;www.sushi.ch
;;Mike Wong;Boulevard de Pérolles 7;1700;Fribourg;FR;;www.mike-wong.ch
;;MIKI-Ramen;Sihlfeldstrasse 63;8003;Zürich;ZH;044 450 37 76;www.miki-ramen.ch
;;Milano;Piazza della Stazione;6850;Mendrisio;TI;+41916465741;
;;Milano;Militärstr. 109;8004;Zürich;ZH;+41 44 241 88 17;www.restaurant-milano.ch
